trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.7, 'e': 0.820041770817414}",20,16,7.582248604013508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.8099360378912133}",25,19,10.888722854888906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.7999548423259251}",35,26,20.789929797929606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.7900966493932545}",25,12,18.37658439942287,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.7803599432780338}",30,14,20.08076686314816,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.7707432268451475}",25,5,11.653631950260618,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.7612450214093301}",25,20,8.886577853832348,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.7518638665078007}",30,14,29.63518008744038,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.7425983196756988}",30,11,29.07845125656345,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.7334469562242887}",20,0,28.04990842075857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.7244083690218962}",30,4,37.41197968817352,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.7154811682775454}",25,15,20.08575983370766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.7066639813272615}",30,5,12.934884871430146,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.6979554524230075}",35,21,21.47889109725321,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.6893542425242217}",35,16,26.746230065180473,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.6808590290919241}",20,15,8.862674098168975,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.6724685058853601}",25,11,21.02914792388924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.6641813827611506}",25,13,20.45533320598664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.6559963854749167}",25,18,14.591642213873582,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.6479122554853498}",30,23,13.289525218363332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.6399277497606954}",25,7,30.387198576172686,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.6320416405876225}",35,15,33.592882357093224,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.6242527153824472}",25,20,9.231840854227798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.6165597765046845}",25,3,34.302774754775285,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.608961641072896}",25,17,14.754610471133972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.6014571407828079}",20,8,18.54375365667886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.5940451217276703}",20,0,30.469638136381686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.5867244442208304}",25,14,19.33368246148815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.5794939826204913}",25,17,14.802469122445444,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.5723526251566323}",25,10,25.817741370521407,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.5652992737600597}",30,8,35.08541529782085,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.5583328438935665}",20,14,11.485196684554523,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.5514522643851711}",20,16,9.369266511058067,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.5446564772634124}",25,0,33.812404387985865,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.5379444375946735}",25,0,31.519447030689946,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.5313151133225109}",20,15,7.698399140230141,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.5247674851089636}",25,19,10.997239336310285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.5183005461778174}",20,9,19.584864212109323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.5119133021598011}",25,12,23.026601193369316,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.5056047709396905}",20,0,32.69126336680065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.4993739825052961}",20,10,14.749314250742575,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.4932199787983124}",25,0,32.13149624699334,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.48714181356700503}",30,22,13.501064352457607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.4811385522207128}",20,13,10.925480473780897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.47520927168614346}",20,10,21.67252905395347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
